datetime,open,high,low,close,tick_volume,real_volume,spread
2020.01.02 00:00:00,1.324650,1.326630,1.324630,1.325590,31103,0,50
2020.01.02 04:00:00,1.325590,1.325620,1.320210,1.321360,30655,0,50
2020.01.02 08:00:00,1.321370,1.323050,1.320650,1.321420,44102,0,50
2020.01.02 12:00:00,1.321410,1.321470,1.317140,1.317670,44620,0,50
2020.01.02 16:00:00,1.317660,1.319450,1.311520,1.313430,71351,0,50
2020.01.02 20:00:00,1.313440,1.314570,1.312490,1.313530,32107,0,50
2020.01.03 00:00:00,1.313680,1.316020,1.313190,1.313760,23279,0,50
2020.01.03 04:00:00,1.313780,1.314380,1.311570,1.312120,33630,0,50
2020.01.03 08:00:00,1.312110,1.312380,1.306660,1.306760,66482,0,50
2020.01.03 12:00:00,1.306760,1.310970,1.305330,1.307200,53596,0,50
2020.01.03 16:00:00,1.307240,1.309890,1.306750,1.308820,52150,0,50
2020.01.03 20:00:00,1.308820,1.309010,1.307070,1.307910,28489,0,50
2020.01.06 00:00:00,1.308140,1.308810,1.306420,1.307910,18491,0,50
2020.01.06 04:00:00,1.307900,1.309050,1.307900,1.308090,9224,0,50
2020.01.06 08:00:00,1.308090,1.314850,1.306410,1.314310,65178,0,50
2020.01.06 12:00:00,1.314330,1.317440,1.313440,1.314040,53249,0,50
2020.01.06 16:00:00,1.314040,1.317460,1.313310,1.315900,40320,0,50
2020.01.06 20:00:00,1.315900,1.316840,1.315540,1.316810,16596,0,50
2020.01.07 00:00:00,1.316850,1.317870,1.316300,1.317180,15099,0,50
2020.01.07 04:00:00,1.317190,1.317600,1.315350,1.315430,11141,0,50
2020.01.07 08:00:00,1.315470,1.321230,1.314100,1.317300,60391,0,50
2020.01.07 12:00:00,1.317300,1.317370,1.310210,1.311810,69987,0,50
2020.01.07 16:00:00,1.311800,1.313960,1.309500,1.312730,51882,0,50
2020.01.07 20:00:00,1.312730,1.313740,1.311350,1.312080,24074,0,50
2020.01.08 00:00:00,1.311900,1.312590,1.310490,1.311690,26036,0,50
2020.01.08 04:00:00,1.311690,1.314000,1.311630,1.311760,26012,0,50
2020.01.08 08:00:00,1.311750,1.316970,1.311010,1.312000,61163,0,50
2020.01.08 12:00:00,1.311990,1.313610,1.308000,1.312180,76734,0,50
2020.01.08 16:00:00,1.312180,1.313890,1.308270,1.310500,58719,0,50
2020.01.08 20:00:00,1.310510,1.310610,1.309320,1.309400,21509,0,50
2020.01.09 00:00:00,1.309560,1.311420,1.309180,1.311190,14193,0,50
2020.01.09 04:00:00,1.311180,1.311890,1.310400,1.311670,9056,0,50
2020.01.09 08:00:00,1.311670,1.312360,1.301730,1.302750,69239,0,50
2020.01.09 12:00:00,1.302750,1.306920,1.301260,1.305230,69814,0,50
2020.01.09 16:00:00,1.305240,1.306930,1.303330,1.306120,40486,0,50
2020.01.09 20:00:00,1.306120,1.306740,1.305400,1.306720,23278,0,50
2020.01.10 00:00:00,1.306610,1.307250,1.305980,1.306370,11308,0,50
2020.01.10 04:00:00,1.306360,1.308360,1.306040,1.308240,10519,0,50
2020.01.10 08:00:00,1.308240,1.309160,1.304810,1.306780,51034,0,50
2020.01.10 12:00:00,1.306800,1.309680,1.305010,1.306960,56597,0,50
2020.01.10 16:00:00,1.306960,1.307800,1.304260,1.306150,49803,0,50
2020.01.10 20:00:00,1.306150,1.306500,1.305350,1.305830,17055,0,50
2020.01.13 00:00:00,1.303460,1.304520,1.303170,1.303910,11321,0,50
2020.01.13 04:00:00,1.303920,1.304120,1.302520,1.303260,10910,0,50
2020.01.13 08:00:00,1.303260,1.303290,1.296460,1.297250,55889,0,50
2020.01.13 12:00:00,1.297240,1.299420,1.296100,1.298400,53165,0,50
2020.01.13 16:00:00,1.298410,1.299880,1.297500,1.299520,46544,0,50
2020.01.13 20:00:00,1.299520,1.300350,1.298590,1.298780,18259,0,50
