datetime,open,high,low,close,tick_volume,real_volume,spread
2020.01.02 00:00:00,1.324650,1.325500,1.324630,1.324810,15175,0,50
2020.01.02 01:00:00,1.324760,1.326120,1.324760,1.325010,3405,0,50
2020.01.02 02:00:00,1.325030,1.326220,1.324730,1.325670,5895,0,50
2020.01.02 03:00:00,1.325680,1.326630,1.325350,1.325590,6628,0,50
2020.01.02 04:00:00,1.325590,1.325620,1.324470,1.324860,5059,0,50
2020.01.02 05:00:00,1.324870,1.324990,1.320270,1.320960,9793,0,50
2020.01.02 06:00:00,1.320960,1.321790,1.320300,1.320750,7687,0,50
2020.01.02 07:00:00,1.320740,1.321400,1.320210,1.321360,8116,0,50
2020.01.02 08:00:00,1.321370,1.322420,1.320650,1.322140,7329,0,50
2020.01.02 09:00:00,1.322160,1.322930,1.320950,1.321960,13801,0,50
2020.01.02 10:00:00,1.321970,1.323050,1.320920,1.322140,15177,0,50
2020.01.02 11:00:00,1.322140,1.322710,1.320990,1.321420,7795,0,50
2020.01.02 12:00:00,1.321410,1.321470,1.320510,1.321120,8775,0,50
2020.01.02 13:00:00,1.321120,1.321170,1.318880,1.319970,11191,0,50
2020.01.02 14:00:00,1.319960,1.321280,1.319060,1.319690,10724,0,50
2020.01.02 15:00:00,1.319690,1.319710,1.317140,1.317670,13930,0,50
2020.01.02 16:00:00,1.317660,1.317750,1.313520,1.314730,16710,0,50
2020.01.02 17:00:00,1.314730,1.319450,1.314550,1.318920,21668,0,50
2020.01.02 18:00:00,1.318910,1.318930,1.312340,1.312700,19109,0,50
2020.01.02 19:00:00,1.312700,1.313450,1.311520,1.313430,13864,0,50
2020.01.02 20:00:00,1.313440,1.314350,1.312490,1.313960,11903,0,50
2020.01.02 21:00:00,1.313950,1.314080,1.312800,1.312880,10028,0,50
2020.01.02 22:00:00,1.312880,1.314570,1.312860,1.313860,7394,0,50
2020.01.02 23:00:00,1.313850,1.314210,1.313510,1.313530,2782,0,50
2020.01.03 00:00:00,1.313680,1.314690,1.313190,1.313200,2255,0,50
2020.01.03 01:00:00,1.313190,1.314810,1.313190,1.314660,9660,0,50
2020.01.03 02:00:00,1.314670,1.315700,1.314000,1.315530,4629,0,50
2020.01.03 03:00:00,1.315550,1.316020,1.313460,1.313760,6735,0,50
2020.01.03 04:00:00,1.313780,1.314380,1.312290,1.312780,11472,0,50
2020.01.03 05:00:00,1.312770,1.313790,1.312680,1.313620,9712,0,50
2020.01.03 06:00:00,1.313620,1.313740,1.312450,1.312590,5882,0,50
2020.01.03 07:00:00,1.312590,1.312920,1.311570,1.312120,6564,0,50
2020.01.03 08:00:00,1.312110,1.312380,1.310520,1.312360,7408,0,50
2020.01.03 09:00:00,1.312360,1.312360,1.308290,1.309110,18287,0,50
2020.01.03 10:00:00,1.309140,1.311800,1.308650,1.309770,19419,0,50
2020.01.03 11:00:00,1.309760,1.310100,1.306660,1.306760,21368,0,50
2020.01.03 12:00:00,1.306760,1.308800,1.306760,1.307840,15727,0,50
2020.01.03 13:00:00,1.307840,1.307880,1.305330,1.305870,12119,0,50
2020.01.03 14:00:00,1.305870,1.308240,1.305400,1.308010,13771,0,50
2020.01.03 15:00:00,1.308010,1.310970,1.307190,1.307200,11979,0,50
2020.01.03 16:00:00,1.307240,1.308990,1.306750,1.306890,14656,0,50
2020.01.03 17:00:00,1.307050,1.309470,1.306900,1.307130,16710,0,50
2020.01.03 18:00:00,1.307130,1.309890,1.306920,1.308960,11484,0,50
2020.01.03 19:00:00,1.308970,1.309430,1.308040,1.308820,9300,0,50
2020.01.03 20:00:00,1.308820,1.309010,1.307290,1.308320,9621,0,50
2020.01.03 21:00:00,1.308330,1.308510,1.307460,1.307850,11644,0,50
2020.01.03 22:00:00,1.307850,1.307900,1.307170,1.307340,4037,0,50
2020.01.03 23:00:00,1.307330,1.307910,1.307070,1.307910,3187,0,50
2020.01.06 00:00:00,1.308140,1.308550,1.306490,1.306700,2534,0,50
2020.01.06 01:00:00,1.306700,1.308490,1.306420,1.307710,7915,0,50
2020.01.06 02:00:00,1.307710,1.308810,1.307680,1.307970,4533,0,50
2020.01.06 03:00:00,1.307960,1.308160,1.307530,1.307910,3509,0,50
2020.01.06 04:00:00,1.307900,1.308830,1.307900,1.308720,2221,0,50
2020.01.06 05:00:00,1.308710,1.309050,1.308080,1.308200,2606,0,50
2020.01.06 06:00:00,1.308190,1.308690,1.308080,1.308390,2118,0,50
2020.01.06 07:00:00,1.308400,1.308590,1.307980,1.308090,2279,0,50
2020.01.06 08:00:00,1.308090,1.308370,1.306850,1.308250,6572,0,50
2020.01.06 09:00:00,1.308250,1.309470,1.306990,1.307310,15501,0,50
2020.01.06 10:00:00,1.307350,1.310850,1.306410,1.310570,18426,0,50
2020.01.06 11:00:00,1.310570,1.314850,1.310290,1.314310,24679,0,50
2020.01.06 12:00:00,1.314330,1.317320,1.313740,1.315220,21109,0,50
2020.01.06 13:00:00,1.315230,1.317440,1.315090,1.315670,13082,0,50
2020.01.06 14:00:00,1.315660,1.315670,1.313840,1.313850,9720,0,50
2020.01.06 15:00:00,1.313880,1.314890,1.313440,1.314040,9338,0,50
2020.01.06 16:00:00,1.314040,1.316120,1.313310,1.313660,11307,0,50
2020.01.06 17:00:00,1.313660,1.316260,1.313350,1.315870,12306,0,50
2020.01.06 18:00:00,1.315880,1.316970,1.315200,1.316240,9262,0,50
2020.01.06 19:00:00,1.316230,1.317460,1.315640,1.315900,7445,0,50
2020.01.06 20:00:00,1.315900,1.316770,1.315770,1.315780,5226,0,50
2020.01.06 21:00:00,1.315770,1.316400,1.315540,1.316290,5055,0,50
2020.01.06 22:00:00,1.316280,1.316740,1.315900,1.316610,3780,0,50
2020.01.06 23:00:00,1.316600,1.316840,1.316420,1.316810,2535,0,50
2020.01.07 00:00:00,1.316850,1.317870,1.316300,1.317470,1190,0,50
2020.01.07 01:00:00,1.317530,1.317550,1.316840,1.317150,6013,0,50
2020.01.07 02:00:00,1.317180,1.317680,1.316960,1.317300,4582,0,50
2020.01.07 03:00:00,1.317290,1.317780,1.317010,1.317180,3314,0,50
2020.01.07 04:00:00,1.317190,1.317250,1.316860,1.316970,2052,0,50
2020.01.07 05:00:00,1.316970,1.317600,1.316880,1.317370,2424,0,50
2020.01.07 06:00:00,1.317370,1.317540,1.316940,1.317110,3962,0,50
2020.01.07 07:00:00,1.317110,1.317300,1.315350,1.315430,2703,0,50
2020.01.07 08:00:00,1.315470,1.316290,1.314790,1.315560,7553,0,50
2020.01.07 09:00:00,1.315530,1.316230,1.314100,1.314350,11923,0,50
2020.01.07 10:00:00,1.314380,1.321230,1.314280,1.318820,24759,0,50
2020.01.07 11:00:00,1.318810,1.319730,1.316720,1.317300,16156,0,50
2020.01.07 12:00:00,1.317300,1.317370,1.314530,1.316030,18491,0,50
2020.01.07 13:00:00,1.316030,1.316440,1.314530,1.314690,12378,0,50
2020.01.07 14:00:00,1.314710,1.314780,1.311000,1.312060,21808,0,50
2020.01.07 15:00:00,1.312050,1.312340,1.310210,1.311810,17310,0,50
2020.01.07 16:00:00,1.311800,1.313580,1.310480,1.310590,14170,0,50
2020.01.07 17:00:00,1.310510,1.312470,1.309500,1.312150,17751,0,50
2020.01.07 18:00:00,1.312130,1.313270,1.310600,1.312570,10950,0,50
2020.01.07 19:00:00,1.312570,1.313960,1.312230,1.312730,9011,0,50
2020.01.07 20:00:00,1.312730,1.313740,1.312480,1.312520,6358,0,50
2020.01.07 21:00:00,1.312520,1.312710,1.311830,1.312030,8881,0,50
2020.01.07 22:00:00,1.312020,1.312320,1.311640,1.311790,4960,0,50
2020.01.07 23:00:00,1.311790,1.312140,1.311350,1.312080,3875,0,50
2020.01.08 00:00:00,1.311900,1.312590,1.310490,1.311560,2405,0,50
2020.01.08 01:00:00,1.311560,1.311950,1.310500,1.311380,4898,0,50
2020.01.08 02:00:00,1.311400,1.311980,1.310650,1.311210,10458,0,50
2020.01.08 03:00:00,1.311210,1.312100,1.311090,1.311690,8275,0,50
